[Header],
Investigator Name,"Su, Wei"
Project Name,The_Hutton_Inst_Ayr_PLTBARV01_20260709
Experiment Name,
Date,2026-07-08
[Manifests],
A,BarleySNP50-JHI-GS_20012062_2A
[Data],
Sample_ID,Sample_Plate,Sample_Name,Project,AMP_Plate,Sample_Well,SentrixBarcode_A,SentrixPosition_A,Super_ID,Order ID,Scanner,Date_Scan,Replicate,Parent1,Parent2,Gender,Igenity_OrderID,Sample_Tests,Sample_Test_Status,Primary_Sample_ID,Secondary_Sample_ID,Organization,BarCode,Animal ID,BarCode 2,Sample Type,Sex
73A042,699493,73A042,109112,398009,B6,209745230001,R11C02,1303044-V_73A042_JHI_Hv50k_P168_B06-62055641,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A042_JHI_Hv50k_P168_B06,73A042,,DNA,
73A043,699493,73A043,109112,398009,C6,209745230002,R11C01,1303044-V_73A043_JHI_Hv50k_P168_C06-62055642,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A043_JHI_Hv50k_P168_C06,73A043,,DNA,
73A044,699493,73A044,109112,398009,D6,209745230002,R11C02,1303044-V_73A044_JHI_Hv50k_P168_D06-62055643,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A044_JHI_Hv50k_P168_D06,73A044,,DNA,
73A045,699493,73A045,109112,398009,E6,209745230007,R11C01,1303044-V_73A045_JHI_Hv50k_P168_E06-62055644,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A045_JHI_Hv50k_P168_E06,73A045,,DNA,
73A046,699493,73A046,109112,398009,F6,209745230007,R11C02,1303044-V_73A046_JHI_Hv50k_P168_F06-62055645,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A046_JHI_Hv50k_P168_F06,73A046,,DNA,
73A047,699493,73A047,109112,398009,G6,209745230009,R11C01,1303044-V_73A047_JHI_Hv50k_P168_G06-62055646,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A047_JHI_Hv50k_P168_G06,73A047,,DNA,
73A048,699493,73A048,109112,398009,H6,209745230009,R11C02,1303044-V_73A048_JHI_Hv50k_P168_H06-62055647,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A048_JHI_Hv50k_P168_H06,73A048,,DNA,
73A049,699493,73A049,109112,398009,A7,209745230001,R02C01,1303044-V_73A049_JHI_Hv50k_P168_A07-62055648,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A049_JHI_Hv50k_P168_A07,73A049,,DNA,
73A050,699493,73A050,109112,398009,B7,209745230001,R02C02,1303044-V_73A050_JHI_Hv50k_P168_B07-62055649,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A050_JHI_Hv50k_P168_B07,73A050,,DNA,
73A051,699493,73A051,109112,398009,C7,209745230002,R02C01,1303044-V_73A051_JHI_Hv50k_P168_C07-62055650,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A051_JHI_Hv50k_P168_C07,73A051,,DNA,
73A052,699493,73A052,109112,398009,D7,209745230002,R02C02,1303044-V_73A052_JHI_Hv50k_P168_D07-62055651,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A052_JHI_Hv50k_P168_D07,73A052,,DNA,
73A053,699493,73A053,109112,398009,E7,209745230007,R02C01,1303044-V_73A053_JHI_Hv50k_P168_E07-62055652,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A053_JHI_Hv50k_P168_E07,73A053,,DNA,
73A054,699493,73A054,109112,398009,F7,209745230007,R02C02,1303044-V_73A054_JHI_Hv50k_P168_F07-62055653,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A054_JHI_Hv50k_P168_F07,73A054,,DNA,
73A055,699493,73A055,109112,398009,G7,209745230009,R02C01,1303044-V_73A055_JHI_Hv50k_P168_G07-62055654,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A055_JHI_Hv50k_P168_G07,73A055,,DNA,
73A056,699493,73A056,109112,398009,H7,209745230009,R02C02,1303044-V_73A056_JHI_Hv50k_P168_H07-62055655,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A056_JHI_Hv50k_P168_H07,73A056,,DNA,
73A057,699493,73A057,109112,398009,A8,209745230001,R04C01,1303044-V_73A057_JHI_Hv50k_P168_A08-62055656,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A057_JHI_Hv50k_P168_A08,73A057,,DNA,
73A058,699493,73A058,109112,398009,B8,209745230001,R04C02,1303044-V_73A058_JHI_Hv50k_P168_B08-62055657,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A058_JHI_Hv50k_P168_B08,73A058,,DNA,
73A059,699493,73A059,109112,398009,C8,209745230002,R04C01,1303044-V_73A059_JHI_Hv50k_P168_C08-62055658,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A059_JHI_Hv50k_P168_C08,73A059,,DNA,
73A060,699493,73A060,109112,398009,D8,209745230002,R04C02,1303044-V_73A060_JHI_Hv50k_P168_D08-62055659,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A060_JHI_Hv50k_P168_D08,73A060,,DNA,
73A061,699493,73A061,109112,398009,E8,209745230007,R04C01,1303044-V_73A061_JHI_Hv50k_P168_E08-62055660,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A061_JHI_Hv50k_P168_E08,73A061,,DNA,
73A062,699493,73A062,109112,398009,F8,209745230007,R04C02,1303044-V_73A062_JHI_Hv50k_P168_F08-62055661,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A062_JHI_Hv50k_P168_F08,73A062,,DNA,
73A063,699493,73A063,109112,398009,G8,209745230009,R04C01,1303044-V_73A063_JHI_Hv50k_P168_G08-62055662,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A063_JHI_Hv50k_P168_G08,73A063,,DNA,
73A064,699493,73A064,109112,398009,H8,209745230009,R04C02,1303044-V_73A064_JHI_Hv50k_P168_H08-62055663,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A064_JHI_Hv50k_P168_H08,73A064,,DNA,
73A065,699493,73A065,109112,398009,A9,209745230001,R06C01,1303044-V_73A065_JHI_Hv50k_P168_A09-62055664,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A065_JHI_Hv50k_P168_A09,73A065,,DNA,
73A066,699493,73A066,109112,398009,B9,209745230001,R06C02,1303044-V_73A066_JHI_Hv50k_P168_B09-62055665,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A066_JHI_Hv50k_P168_B09,73A066,,DNA,
73A067,699493,73A067,109112,398009,C9,209745230002,R06C01,1303044-V_73A067_JHI_Hv50k_P168_C09-62055666,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A067_JHI_Hv50k_P168_C09,73A067,,DNA,
73A068,699493,73A068,109112,398009,D9,209745230002,R06C02,1303044-V_73A068_JHI_Hv50k_P168_D09-62055667,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A068_JHI_Hv50k_P168_D09,73A068,,DNA,
73A069,699493,73A069,109112,398009,E9,209745230007,R06C01,1303044-V_73A069_JHI_Hv50k_P168_E09-62055668,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A069_JHI_Hv50k_P168_E09,73A069,,DNA,
73A070,699493,73A070,109112,398009,F9,209745230007,R06C02,1303044-V_73A070_JHI_Hv50k_P168_F09-62055669,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A070_JHI_Hv50k_P168_F09,73A070,,DNA,
73A071,699493,73A071,109112,398009,G9,209745230009,R06C01,1303044-V_73A071_JHI_Hv50k_P168_G09-62055670,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A071_JHI_Hv50k_P168_G09,73A071,,DNA,
73A072,699493,73A072,109112,398009,H9,209745230009,R06C02,1303044-V_73A072_JHI_Hv50k_P168_H09-62055671,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A072_JHI_Hv50k_P168_H09,73A072,,DNA,
73A073,699493,73A073,109112,398009,A10,209745230001,R08C01,1303044-V_73A073_JHI_Hv50k_P168_A10-62055672,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A073_JHI_Hv50k_P168_A10,73A073,,DNA,
73A074,699493,73A074,109112,398009,B10,209745230001,R08C02,1303044-V_73A074_JHI_Hv50k_P168_B10-62055673,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A074_JHI_Hv50k_P168_B10,73A074,,DNA,
73A075,699493,73A075,109112,398009,C10,209745230002,R08C01,1303044-V_73A075_JHI_Hv50k_P168_C10-62055674,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A075_JHI_Hv50k_P168_C10,73A075,,DNA,
73A076,699493,73A076,109112,398009,D10,209745230002,R08C02,1303044-V_73A076_JHI_Hv50k_P168_D10-62055675,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A076_JHI_Hv50k_P168_D10,73A076,,DNA,
73A077,699493,73A077,109112,398009,E10,209745230007,R08C01,1303044-V_73A077_JHI_Hv50k_P168_E10-62055676,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A077_JHI_Hv50k_P168_E10,73A077,,DNA,
73A078,699493,73A078,109112,398009,F10,209745230007,R08C02,1303044-V_73A078_JHI_Hv50k_P168_F10-62055677,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A078_JHI_Hv50k_P168_F10,73A078,,DNA,
73A079,699493,73A079,109112,398009,G10,209745230009,R08C01,1303044-V_73A079_JHI_Hv50k_P168_G10-62055678,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A079_JHI_Hv50k_P168_G10,73A079,,DNA,
73A080,699493,73A080,109112,398009,H10,209745230009,R08C02,1303044-V_73A080_JHI_Hv50k_P168_H10-62055679,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A080_JHI_Hv50k_P168_H10,73A080,,DNA,
73A081,699493,73A081,109112,398009,A11,209745230001,R10C01,1303044-V_73A081_JHI_Hv50k_P168_A11-62055680,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A081_JHI_Hv50k_P168_A11,73A081,,DNA,
73A082,699493,73A082,109112,398009,B11,209745230001,R10C02,1303044-V_73A082_JHI_Hv50k_P168_B11-62055681,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A082_JHI_Hv50k_P168_B11,73A082,,DNA,
73A083,699493,73A083,109112,398009,C11,209745230002,R10C01,1303044-V_73A083_JHI_Hv50k_P168_C11-62055682,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A083_JHI_Hv50k_P168_C11,73A083,,DNA,
73A084,699493,73A084,109112,398009,D11,209745230002,R10C02,1303044-V_73A084_JHI_Hv50k_P168_D11-62055683,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A084_JHI_Hv50k_P168_D11,73A084,,DNA,
73A085,699493,73A085,109112,398009,E11,209745230007,R10C01,1303044-V_73A085_JHI_Hv50k_P168_E11-62055684,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A085_JHI_Hv50k_P168_E11,73A085,,DNA,
73A086,699493,73A086,109112,398009,F11,209745230007,R10C02,1303044-V_73A086_JHI_Hv50k_P168_F11-62055685,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A086_JHI_Hv50k_P168_F11,73A086,,DNA,
73A087,699493,73A087,109112,398009,G11,209745230009,R10C01,1303044-V_73A087_JHI_Hv50k_P168_G11-62055686,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A087_JHI_Hv50k_P168_G11,73A087,,DNA,
